"TAIR"	"SYMBOL"	"GENENAME"	"ENTREZID"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"ZT1_wt_1"	"ZT1_wt_2"	"ZT1_wt_3"	"ZT1_wt_4"	"ZT3_wt_1"	"ZT3_wt_2"	"ZT3_wt_3"	"ZT3_wt_4"	"ZT5_wt_1"	"ZT5_wt_2"	"ZT5_wt_3"	"ZT5_wt_4"	"ZT7_wt_1"	"ZT7_wt_2"	"ZT7_wt_3"	"ZT7_wt_4"	"ZT9_wt_1"	"ZT9_wt_2"	"ZT9_wt_3"	"ZT9_wt_4"	"ZT11_wt_1"	"ZT11_wt_2"	"ZT11_wt_3"	"ZT11_wt_4"	"ZT13_wt_1"	"ZT13_wt_2"	"ZT13_wt_3"	"ZT13_wt_4"	"ZT15_wt_1"	"ZT15_wt_2"	"ZT15_wt_3"	"ZT15_wt_4"	"ZT17_wt_1"	"ZT17_wt_2"	"ZT17_wt_4"	"ZT19_wt_1"	"ZT19_wt_2"	"ZT19_wt_3"	"ZT19_wt_4"	"ZT21_wt_1"	"ZT21_wt_2"	"ZT21_wt_3"	"ZT21_wt_4"	"ZT23_wt_1"	"ZT23_wt_2"	"ZT23_wt_3"	"ZT23_wt_4"
"AT5G10760"	"AED1"	NA	"830943"	"DOWN"	"Rhythmic"	"-1.278278"	" 4.76499159"	" -5.016527"	"2.503683e-06"	"8.788824e-05"	" 4.14761324"	"DOWN"	"Rhythmic"	"5.864251e-06"	"9.777080e-07"	"24"	"10.0"	"1.1080494"	"1.0325663"	"  37.6093586"	" 1.253851854"	" 3.40467413"	" 1.57710450"	" 3.79967133"	" 2.90913356"	" 2.86627064"	" 3.96558093"	" 2.41684672"	" 3.58872122"	" 3.535496271"	" 5.17627415"	" 3.88403753"	" 4.335087330"	" 4.21458774"	" 3.37193262"	" 5.26741312"	" 5.38016447"	" 4.65340630"	" 5.1804798"	" 5.08965189"	" 4.69680373"	" 5.55517333"	" 5.61085463"	" 6.3691319961"	" 1.90351659"	" 4.902745526"	" 5.748091906"	" 4.30292374"	" 2.70699000"	" 1.915504468"	" 2.6691825"	" 1.68003886"	" 5.6834018"	" 4.33613003"	" 3.50051423"	" 3.8287935"	" 3.1164562"	" 2.59572923"	" 4.39442500"	" 1.91644371"	" 3.24908822"	" 2.80743643"	" 2.544237127"	" 2.4517894"	" 0.006605113"	" 1.225178356"	" 1.688314325"
"AT3G07650"	"BBX7"	"This gene belongs to the CO (CONSTANS) gene family. This gene family is divided in three subgroups: groups III, to which COL9 belongs, is characterised by one B-box (supposed to regulate protein-protein interactions) and a second diverged zinc finger. COL9 downregulates expression of CO (CONSTANS) as well as FT and SOC1 which are known regulatory targets of CO."	"819956"	"UP"	"Rhythmic"	" 1.276679"	" 3.99770598"	"  4.557038"	"1.569354e-05"	"4.235094e-04"	" 2.38115851"	"UP"	"Rhythmic"	"1.879542e-15"	"2.175840e-17"	"24"	"15.0"	"1.8739315"	"4.2055334"	" 193.8554433"	"-1.152385896"	"-1.33212091"	"-1.04800783"	"-1.73060305"	"-1.72233433"	"-1.03389824"	"-2.82620716"	"-2.81461137"	"-1.01041283"	"-1.612830799"	"-1.43834416"	"-1.21374024"	" 1.147030079"	" 0.47412185"	"-0.40843002"	" 0.16854641"	" 4.61454631"	" 5.14967002"	" 4.3316000"	" 4.33688613"	" 4.85822187"	" 5.36322603"	" 5.41808285"	" 5.2019384068"	" 6.48427228"	" 6.648450991"	" 6.462370830"	" 6.68675151"	" 5.87340711"	" 5.815954899"	" 5.9796713"	" 5.67373946"	" 5.9692752"	" 6.14317507"	" 6.02453168"	" 6.0666235"	" 6.3779898"	" 5.46696859"	" 6.02674863"	" 5.72825231"	" 5.73005931"	" 5.60440473"	" 5.635604459"	" 3.9593945"	" 3.774920174"	" 3.493035765"	" 3.353195657"
"AT5G18060"	"SAUR23"	NA	"831310"	"DOWN"	"Rhythmic"	"-1.276509"	"-0.47594402"	" -6.117533"	"2.206156e-08"	"1.403498e-06"	" 8.74112753"	"DOWN"	"Rhythmic"	"4.701611e-06"	"7.651924e-07"	"24"	" 3.0"	"1.1252181"	"1.4471654"	"   1.6455319"	"-0.990760165"	"-1.19280839"	"-3.27087384"	"-0.99086400"	" 0.86299653"	" 1.01907520"	" 1.17761117"	" 1.73376615"	" 1.58196772"	" 0.674416583"	" 1.03151030"	" 1.17405115"	" 1.324237875"	" 2.02995531"	" 0.91078273"	" 1.19056682"	"-0.94714986"	" 0.01799248"	"-2.3442890"	"-3.02706627"	"-2.53161400"	"-1.36375491"	"-1.86380250"	"-1.2823928353"	"-1.12798565"	"-1.321751466"	"-2.070833907"	"-0.90557834"	"-2.26666003"	"-3.017074940"	"-2.5197562"	"-1.34194484"	"-1.7501266"	"-1.54436023"	"-2.03022451"	"-0.5559728"	"-2.7851243"	"-1.82534632"	"-1.28148152"	"-0.99208710"	"-0.46563168"	"-0.47096632"	"-1.073597086"	" 0.3784523"	"-0.914613013"	"-1.004822840"	"-0.417439351"
"AT5G57345"	"AtOxR"	NA	"835840"	"UP"	"Rhythmic"	" 1.269727"	" 4.83431083"	" 11.769188"	"3.850561e-20"	"1.330482e-17"	"35.34682797"	"UP"	"Rhythmic"	"1.242277e-21"	"1.762396e-24"	"24"	" 3.0"	"2.6455439"	"2.6333040"	"  93.9559117"	" 5.769338496"	" 5.43186201"	" 5.36801197"	" 5.40348058"	" 5.82182727"	" 6.26831054"	" 5.83271379"	" 6.12460676"	" 6.22603448"	" 6.046748504"	" 6.21400300"	" 6.24828021"	" 5.468594612"	" 5.46485453"	" 5.95748900"	" 5.65562566"	" 4.18064394"	" 4.10277721"	" 3.9382420"	" 3.96542429"	" 2.71079885"	" 1.77558600"	" 2.19997595"	" 1.9781004789"	" 2.08046316"	" 1.948835853"	" 1.014275833"	" 1.85366765"	" 0.60039218"	" 0.539836392"	" 1.3497703"	" 1.61204520"	" 1.4585292"	" 1.56872304"	" 1.24055247"	" 1.9266633"	" 2.4634882"	" 2.33934771"	" 1.77518872"	" 3.39015712"	" 3.75517365"	" 3.81753467"	" 3.568806577"	" 4.6275938"	" 5.254839775"	" 4.496957437"	" 4.953466910"
"AT2G32160"	NA	NA	"817775"	"DOWN"	"Rhythmic"	"-1.269344"	" 3.14996912"	" -9.341020"	"4.931566e-15"	"1.174379e-12"	"23.76837255"	"DOWN"	"Rhythmic"	"4.122262e-10"	"2.320556e-11"	"24"	" 7.0"	"0.7843506"	"1.0888289"	"  13.5603023"	" 2.087836721"	" 2.22741205"	" 2.22418348"	" 2.52481121"	" 2.86531137"	" 3.74024102"	" 3.23761844"	" 3.27605988"	" 3.78168894"	" 3.181936245"	" 3.73417538"	" 3.85180576"	" 2.956848581"	" 3.15493349"	" 2.75305209"	" 3.62927708"	" 3.40056892"	" 3.21216573"	" 2.9321833"	" 3.28028084"	" 2.74905739"	" 2.92631835"	" 3.36586059"	" 3.1606264109"	" 3.36422694"	" 3.073759171"	" 2.920590563"	" 3.26150600"	" 2.30052465"	" 1.832274742"	" 2.2239700"	" 2.90261786"	" 2.1795515"	" 2.21731342"	" 1.35301145"	" 1.0990582"	" 0.9811934"	" 0.79738729"	" 1.31508281"	" 1.05622919"	" 1.49890795"	" 1.91105256"	" 0.918007214"	" 2.2807596"	" 1.833126426"	" 1.524065535"	" 1.203878869"
"AT3G51860"	"ATCAX3"	NA	"824349"	"DOWN"	"Rhythmic"	"-1.233975"	" 1.38597187"	" -4.689506"	"9.335628e-06"	"2.745217e-04"	" 2.87984199"	"DOWN"	"Rhythmic"	"1.370990e-03"	"4.179411e-04"	"24"	"21.0"	"1.0626691"	"1.2593051"	"   5.4412794"	" 0.148542216"	" 2.41118192"	" 1.58562295"	" 2.82017257"	"-0.74023675"	" 0.74320446"	" 0.85672674"	"-0.37521067"	" 0.59911739"	" 0.137023291"	" 2.02860285"	" 1.63054722"	"-0.057171834"	"-0.87773059"	"-0.08072141"	" 0.82966216"	"-0.63635275"	"-2.67993827"	"-0.5194694"	" 0.38868188"	"-1.00170254"	"-0.17028483"	" 0.34816306"	" 0.1705494165"	"-1.85452674"	" 0.353867093"	" 1.497836471"	"-0.13432149"	" 0.64781783"	"-0.780568175"	"-1.3324081"	"-0.87369935"	" 3.1070665"	" 1.24390772"	" 1.78805986"	" 2.9352401"	" 1.4201393"	" 0.86324911"	" 2.56844949"	" 1.24901355"	" 1.38370646"	" 1.39454664"	" 1.857307540"	" 1.9862089"	"-0.432072665"	" 0.415677332"	" 2.469118820"
"AT3G17609"	"HYH"	"Encodes a homolog of HY5 (HYH).  Involved in phyB signaling pathway."	"821027"	"UP"	"Rhythmic"	" 1.232701"	" 1.55941592"	"  4.428977"	"2.572426e-05"	"6.531885e-04"	" 1.90770016"	"UP"	"Rhythmic"	"1.647753e-14"	"2.543348e-16"	"24"	"23.0"	"2.7182325"	"3.3005321"	"  17.6920064"	" 5.356134196"	" 5.63758400"	" 4.95565372"	" 5.76351764"	" 1.88363290"	" 2.43749430"	" 2.32516447"	" 1.87206952"	" 0.60341320"	" 0.104828744"	" 0.87024514"	" 0.59838869"	"-1.287103943"	"-1.70127434"	"-1.38331894"	"-1.87499641"	"-1.40922545"	"-3.00609892"	"-2.0322678"	"-1.97451171"	"-1.16129347"	"-1.02106794"	"-2.53858294"	"-1.1079048474"	"-3.06725683"	"-2.092624588"	"-1.518996729"	"-1.32422038"	"-1.08808466"	"-0.678587951"	"-1.7209546"	"-0.67503059"	" 0.6477518"	"-1.17321526"	"-1.00280855"	" 0.7076285"	" 0.7329995"	" 0.32188985"	" 1.01722488"	" 2.80730608"	" 2.73791246"	" 3.42507910"	" 2.616212467"	" 4.5626186"	" 4.432500120"	" 3.835308885"	" 4.546586153"
"AT1G01390"	NA	NA	"837790"	"DOWN"	"Rhythmic"	"-1.225761"	"-0.66886276"	" -5.778177"	"9.906205e-08"	"5.273932e-06"	" 7.27834746"	"DOWN"	"Rhythmic"	"4.197600e-06"	"6.762562e-07"	"24"	" 0.0"	"1.2480756"	"1.3871484"	"   1.5012425"	" 0.955457504"	" 0.62407193"	" 1.57359423"	" 1.07513618"	"-2.16581524"	" 1.06017503"	" 0.36029647"	" 0.73518249"	" 0.36745658"	"-2.581422088"	"-1.13298768"	"-0.76114125"	"-3.262200195"	"-1.54369599"	"-1.37624985"	"-0.63455847"	"-1.95358403"	"-1.32692763"	"-2.7789480"	"-1.04686992"	"-0.97370437"	"-1.62682097"	"-1.02115668"	"-0.9546668957"	"-1.68749538"	"-2.079374332"	"-1.343111509"	"-1.86774331"	"-1.48172189"	"-1.934805825"	"-1.1945318"	"-1.44826106"	"-2.2133549"	"-1.90393144"	"-1.33207316"	"-0.1388860"	"-0.3879514"	"-1.88072139"	"-0.51207383"	" 0.42515149"	"-0.01163948"	" 0.56447815"	" 0.762480903"	" 1.8042227"	" 0.932664281"	" 1.026699221"	" 0.655293525"
"AT2G28210"	"ACA2"	NA	"817367"	"UP"	"Rhythmic"	" 1.217674"	" 1.28540147"	"  5.889935"	"6.064027e-08"	"3.403194e-06"	" 7.75594819"	"UP"	"Rhythmic"	"2.989637e-03"	"9.904380e-04"	"24"	"12.0"	"0.5317721"	"0.7294953"	"   1.0224749"	"-1.490529011"	"-0.46365626"	"-0.33336526"	"-0.31083804"	" 0.23788801"	"-2.21194107"	"-2.78253710"	"-0.22418179"	" 0.31758624"	"-0.791348974"	"-0.12740967"	" 0.44125278"	"-1.907804294"	" 0.97198952"	"-2.72859937"	"-0.88036963"	" 0.20022390"	" 0.40077272"	" 2.1307058"	"-0.65565425"	" 2.09039046"	" 1.78742566"	" 1.39318121"	"-0.5123798007"	" 1.28365088"	" 0.687211031"	" 1.197583085"	" 0.49931315"	" 0.77137108"	" 0.223791179"	" 0.2277846"	" 1.10723220"	"-0.1377107"	" 0.01360305"	"-1.04046666"	" 1.3477846"	" 0.6056336"	" 0.42404754"	" 0.49577522"	"-1.77719104"	"-0.25962370"	"-0.12272253"	" 0.906242143"	"-0.3410987"	"-0.249674550"	"-3.438139093"	" 0.497856108"
"AT1G35516"	NA	NA	"5007770"	"UP"	"Rhythmic"	" 1.211634"	" 4.20872672"	" 13.659676"	"5.551486e-24"	"2.582888e-21"	"44.04139118"	"UP"	"Rhythmic"	"7.756609e-13"	"2.139208e-14"	"24"	"21.0"	"0.8245399"	"0.8509528"	"  10.9600310"	" 4.842263146"	" 4.74598270"	" 4.66943171"	" 4.70767091"	" 3.82862909"	" 3.38481073"	" 3.98731054"	" 3.82569691"	" 3.71996228"	" 3.613046575"	" 3.41786263"	" 3.44632527"	" 3.481365549"	" 3.29884289"	" 3.79610144"	" 3.42651411"	" 3.15667875"	" 3.20808370"	" 3.2729687"	" 2.97060813"	" 3.68138980"	" 2.95519878"	" 3.81195855"	" 3.3499007141"	" 3.91210766"	" 3.590504076"	" 3.590602447"	" 3.30538877"	" 4.30477461"	" 4.215894792"	" 4.0758536"	" 4.87063582"	" 4.4759049"	" 4.49527494"	" 4.80115615"	" 4.5839382"	" 4.6501632"	" 4.52762003"	" 4.53519947"	" 5.22386008"	" 5.23526416"	" 5.31346312"	" 5.112052389"	" 5.2347560"	" 5.618001062"	" 5.934972245"	" 5.358733980"
