"TAIR"	"SYMBOL"	"GENENAME"	"ENTREZID"	"diffExpressed_fac"	"Rhythmicity_fac"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"diffExpressed"	"Rhythmicity_lmrAMP"	"BH.Q"	"ADJ.P"	"PER"	"LAG"	"AMP"	"amp_lmr"	"amp_lmr_abs"	"ZT1_wt_1"	"ZT1_wt_2"	"ZT1_wt_3"	"ZT1_wt_4"	"ZT3_wt_1"	"ZT3_wt_2"	"ZT3_wt_3"	"ZT3_wt_4"	"ZT5_wt_1"	"ZT5_wt_2"	"ZT5_wt_3"	"ZT5_wt_4"	"ZT7_wt_1"	"ZT7_wt_2"	"ZT7_wt_3"	"ZT7_wt_4"	"ZT9_wt_1"	"ZT9_wt_2"	"ZT9_wt_3"	"ZT9_wt_4"	"ZT11_wt_1"	"ZT11_wt_2"	"ZT11_wt_3"	"ZT11_wt_4"	"ZT13_wt_1"	"ZT13_wt_2"	"ZT13_wt_3"	"ZT13_wt_4"	"ZT15_wt_1"	"ZT15_wt_2"	"ZT15_wt_3"	"ZT15_wt_4"	"ZT17_wt_1"	"ZT17_wt_2"	"ZT17_wt_4"	"ZT19_wt_1"	"ZT19_wt_2"	"ZT19_wt_3"	"ZT19_wt_4"	"ZT21_wt_1"	"ZT21_wt_2"	"ZT21_wt_3"	"ZT21_wt_4"	"ZT23_wt_1"	"ZT23_wt_2"	"ZT23_wt_3"	"ZT23_wt_4"
"AT1G73870"	"BBX16"	NA	"843723"	"UP"	"Rhythmic"	" 1.240962"	" 1.861772455"	"  5.359737"	"5.887906e-07"	"1.359341e-05"	" 5.65580580"	"UP"	"Rhythmic"	"6.005149e-18"	"3.169214e-20"	"24"	" 2.0"	"3.7706536"	"3.8859246"	"3.107139e+01"	" 7.444954231"	" 7.281900969"	" 6.73653259"	" 6.935405592"	" 5.543066749"	" 6.31681069"	" 6.26140881"	" 6.189138849"	" 4.89092219"	" 4.537017741"	" 4.66936962"	" 5.09854552"	" 2.937305218"	" 3.61172926"	" 2.380043383"	" 3.59564329"	" 0.800771040"	" 0.892591776"	" 0.02532270"	" 0.888815967"	" 0.60461322"	" 0.16852943"	" 0.38360831"	" 0.626116025"	"-0.80393126"	"-1.792136709"	"-0.655297031"	" 0.75909095"	"-1.93861763"	"-2.12421713"	"-1.65666959"	"-1.90575704"	"-1.76274086"	"-0.784619890"	"-1.626581282"	"-1.20048294"	"-0.17236483"	"-1.80147830"	" 0.27645569"	" 1.25625965"	" 0.34094615"	" 1.04495119"	" 0.694836702"	" 3.932074550"	" 3.886996459"	" 3.89364291"	" 3.818077651"
"AT5G15500"	NA	NA	"831403"	"DOWN"	"Rhythmic"	"-1.240792"	" 0.024469594"	" -5.076812"	"1.924477e-06"	"3.714473e-05"	" 4.51410637"	"DOWN"	"Rhythmic"	"1.765286e-04"	"4.290501e-05"	"24"	"10.0"	"1.0047222"	"1.4983719"	"4.503085e+00"	" 4.131491830"	" 3.053069477"	" 7.30708774"	" 4.509081877"	" 4.213134617"	" 5.31939922"	" 4.00849288"	" 3.995146434"	" 4.27827137"	" 1.385592428"	" 3.53088059"	" 4.63009691"	" 3.910362821"	" 3.88392688"	" 2.783943147"	" 2.96719319"	" 5.067844158"	" 5.030355515"	" 5.05214872"	" 5.050234856"	" 6.26956755"	" 6.32326600"	" 5.44682886"	" 5.926718761"	" 4.81608380"	" 4.782633903"	" 5.318871727"	" 5.56461147"	" 3.90591733"	" 3.98671033"	" 3.62357993"	" 1.59675020"	" 2.13904502"	" 2.928867830"	" 3.209205092"	" 3.65637528"	" 4.01552003"	" 3.28941766"	" 3.08657094"	" 3.66694145"	" 2.88683820"	" 3.21910804"	" 2.744022278"	" 2.635502142"	" 2.012544171"	" 2.51151280"	" 1.554138949"
"AT1G75030"	"ATLP-3"	"encodes a PR5-like protein"	"843841"	"DOWN"	"Rhythmic"	"-1.238572"	" 0.971439324"	" -6.392904"	"6.165878e-09"	"2.735612e-07"	"10.07567104"	"DOWN"	"Rhythmic"	"4.914088e-02"	"2.265745e-02"	"24"	" 3.0"	"0.2778758"	"0.8280445"	"1.794643e+00"	"-0.983802214"	"-1.246916631"	"-2.25576086"	"-0.709664656"	"-0.121548752"	"-1.37275630"	" 0.10827632"	" 0.002745680"	"-0.87109660"	"-0.432340055"	"-0.07364631"	" 0.12847092"	"-1.605283366"	"-1.14923513"	"-1.808626652"	"-0.43236205"	"-1.992337600"	"-1.515745951"	"-3.38954141"	"-0.568960287"	"-2.46338603"	"-4.07324165"	"-0.81973692"	"-2.144630877"	"-1.44365056"	"-0.816888175"	"-0.994508142"	"-1.55480445"	"-1.63989233"	"-1.98642813"	"-2.10493004"	"-1.92544879"	"-1.32324224"	"-1.989846597"	"-1.810525840"	"-1.26451673"	"-2.38226165"	"-1.56110163"	"-0.69643207"	"-0.93114706"	"-1.49609694"	"-1.97054727"	"-0.943139755"	"-1.420638501"	"-3.473867737"	"-2.45242506"	"-2.031779934"
"AT1G13270"	"MAP1B"	"Encodes a methionine aminopeptidase formerly called MAP1B, renamed to MAP1C."	"837887"	"UP"	"Rhythmic"	" 1.231420"	" 4.684843730"	" 10.720434"	"5.222411e-18"	"2.968688e-15"	"30.49906971"	"UP"	"Rhythmic"	"2.074566e-11"	"8.582220e-13"	"24"	"12.0"	"1.3718416"	"1.3114765"	"2.458558e+01"	" 2.301381062"	" 2.228686394"	" 2.34600488"	" 2.863472198"	" 1.589603850"	" 2.35360548"	" 1.21254187"	" 2.342780806"	" 2.47032073"	" 2.402051849"	" 2.44380486"	" 2.91591717"	" 3.569818078"	" 4.27751406"	" 4.198644716"	" 4.52090295"	" 5.717859826"	" 5.102512324"	" 5.96199268"	" 5.871349159"	" 5.48584843"	" 5.65443245"	" 4.93483621"	" 5.535134563"	" 4.87219453"	" 4.672291797"	" 4.747815001"	" 4.61530609"	" 4.31597874"	" 4.50580174"	" 4.50783416"	" 4.55881017"	" 3.96684078"	" 4.424787969"	" 3.474960190"	" 3.50679058"	" 3.79695716"	" 3.72281966"	" 3.23809522"	" 2.91966874"	" 3.27109979"	" 3.20918221"	" 3.213287555"	" 2.847050363"	" 2.700318588"	" 2.89617881"	" 2.949108513"
"AT4G36040"	"DJC23"	NA	"829760"	"UP"	"Rhythmic"	" 1.228856"	" 3.968016732"	"  5.846627"	"7.160622e-08"	"2.202173e-06"	" 7.69424307"	"UP"	"Rhythmic"	"7.419417e-19"	"2.652499e-21"	"24"	" 5.0"	"2.4554621"	"3.0324941"	"7.116466e+01"	" 3.801184492"	" 4.865287875"	" 3.43345906"	" 4.872315358"	" 6.126976137"	" 6.11006643"	" 6.50232395"	" 5.784646311"	" 7.68533600"	" 7.232258355"	" 7.10688213"	" 7.49574560"	" 7.367199744"	" 6.99115354"	" 7.008184495"	" 6.92916564"	" 5.172138918"	" 5.521034294"	" 4.20276941"	" 4.687477791"	" 1.99586510"	" 1.82076654"	" 2.55989006"	" 2.561220559"	" 2.24363730"	" 2.949992944"	" 2.292193874"	" 2.79410815"	" 1.93764524"	" 1.65671086"	" 1.93470412"	" 0.83896098"	" 1.21493002"	" 0.924299629"	" 0.308897929"	" 1.02039670"	" 1.25814407"	" 0.27597749"	" 2.09905199"	" 1.70513230"	" 1.70435949"	" 1.64674778"	" 0.960328532"	" 3.131257150"	" 2.955701483"	" 3.10247588"	" 2.599433072"
"AT3G11010"	"AtRLP34"	NA	"820272"	"DOWN"	"Rhythmic"	"-1.227661"	" 1.789518037"	" -5.510087"	"3.099119e-07"	"7.800032e-06"	" 6.27582825"	"DOWN"	"Rhythmic"	"1.112336e-04"	"2.568436e-05"	"24"	"11.0"	"1.1843838"	"0.6028694"	"2.493290e+00"	"-0.252975781"	" 2.156550427"	" 0.25261573"	" 2.322509796"	" 0.315313646"	" 0.14596685"	" 1.04633783"	" 0.502365350"	" 0.15435153"	" 0.006193038"	" 2.13035679"	" 1.03440057"	" 0.697682920"	" 1.32400274"	" 0.346304165"	" 1.70958471"	" 2.181636588"	" 2.061815369"	" 2.32132197"	" 2.169618415"	" 2.23099938"	" 3.16130413"	" 3.29874142"	" 3.196156111"	" 0.96693651"	" 2.445251039"	" 2.704329761"	" 1.76062066"	" 1.54721931"	" 2.06662131"	" 1.92758732"	"-0.17261585"	" 2.81808786"	" 1.967589373"	" 0.739986775"	" 1.05410134"	" 0.80844440"	" 0.11693557"	" 1.91038634"	"-0.11949849"	" 1.00269197"	" 0.89493980"	" 0.090567984"	" 1.461340038"	" 0.115127570"	" 0.73741548"	"-0.331723029"
"AT1G22890"	"PROSCOOP14"	NA	"838896"	"DOWN"	"Rhythmic"	"-1.224509"	" 3.164509543"	" -6.921400"	"5.352258e-10"	"3.417300e-08"	"12.45609734"	"DOWN"	"Rhythmic"	"7.388079e-08"	"7.605252e-09"	"24"	"18.0"	"1.3020444"	"1.2999060"	"2.018510e+01"	" 3.754942449"	" 4.316133254"	" 1.80226731"	" 3.838933699"	" 2.687943769"	" 1.24557529"	" 2.46142214"	" 2.653159380"	" 2.89062541"	" 2.567340910"	" 2.06482941"	" 1.70635632"	" 2.499129396"	" 3.18287578"	" 2.119147932"	" 1.92198404"	" 0.884157561"	" 2.667094408"	" 2.18915485"	" 1.390702807"	" 2.90566240"	" 1.78643322"	" 2.81249176"	" 1.420214332"	" 3.97031505"	" 4.099130935"	" 3.217240344"	" 3.84687719"	" 4.25125481"	" 4.47975164"	" 4.91802551"	" 4.44596676"	" 4.24876340"	" 3.900120374"	" 4.262249485"	" 4.45370979"	" 4.55964883"	" 4.17854551"	" 4.87725629"	" 3.89543559"	" 4.84718699"	" 4.88607607"	" 4.157755897"	" 4.904275078"	" 4.524707167"	" 3.77224299"	" 4.289899168"
"AT1G31173"	NA	NA	NA	"UP"	"Rhythmic"	" 1.210140"	"-0.217838768"	"  5.165056"	"1.334639e-06"	"2.715821e-05"	" 4.86655104"	"UP"	"Rhythmic"	"7.710160e-03"	"2.834322e-03"	"24"	" 6.0"	"0.6962512"	"1.2465870"	"7.142204e-01"	"-2.426969421"	"-3.055450987"	"-2.82822238"	"-2.938015985"	"-0.704706571"	" 0.24842013"	"-0.46552359"	" 0.402405654"	" 0.44951495"	" 0.832062416"	" 1.37827604"	" 0.64365915"	" 2.251355616"	" 0.65732773"	" 2.114331107"	" 0.86310898"	"-0.956336516"	"-0.610312945"	"-2.07531788"	"-1.567929077"	"-2.70690821"	"-1.08723679"	"-3.17742925"	"-2.817945243"	"-1.61621199"	"-1.056093121"	"-1.541352710"	"-2.13624162"	"-1.26936862"	"-1.80284438"	"-2.47669998"	"-2.48451543"	"-1.72975324"	"-3.027156664"	"-1.548236939"	"-2.46256494"	"-1.22379474"	"-2.71080764"	"-0.94410684"	"-0.68719866"	"-1.89635929"	"-1.73324493"	"-2.080830277"	"-1.905163460"	"-3.051586267"	"-2.89220816"	"-1.783565947"
"AT4G26370"	NA	NA	"828743"	"UP"	"Rhythmic"	" 1.208582"	" 3.920851164"	"  8.283743"	"7.893300e-13"	"9.795474e-11"	"18.82516914"	"UP"	"Rhythmic"	"8.441522e-08"	"8.823790e-09"	"24"	" 9.0"	"1.1529231"	"1.1312594"	"1.170257e+01"	" 0.860796315"	" 0.554385088"	" 1.68046774"	" 1.023406101"	" 1.694692729"	" 1.35890061"	" 0.63370059"	" 1.469143567"	" 3.52594558"	" 3.092881266"	" 3.04372202"	" 3.77941819"	" 4.672457521"	" 3.82407533"	" 4.247025113"	" 4.28680151"	" 4.312910153"	" 4.550123559"	" 4.44169257"	" 4.468660663"	" 3.98402519"	" 4.36522603"	" 3.77093467"	" 3.810379883"	" 3.42616882"	" 2.274933700"	" 2.578951473"	" 2.76585371"	" 2.61880294"	" 2.99323065"	" 2.42115873"	" 2.88691533"	" 2.35902177"	" 2.321751271"	" 2.557501616"	" 2.39235657"	" 2.17825804"	" 2.69878954"	" 1.85124199"	" 2.51769056"	" 2.01663753"	" 1.84628608"	" 1.834425115"	" 2.504485835"	" 1.789831022"	" 2.18220757"	" 1.939654139"
"AT3G06145"	NA	NA	"819788"	"DOWN"	"Rhythmic"	"-1.206336"	" 1.512403657"	" -6.421294"	"5.416125e-09"	"2.447255e-07"	"10.20179328"	"DOWN"	"Rhythmic"	"2.491872e-10"	"1.330638e-11"	"24"	"21.0"	"1.1429447"	"1.4122302"	"5.951925e+00"	" 1.597080458"	" 1.355188759"	" 0.76996559"	" 0.820857086"	" 1.454985815"	" 2.18892983"	" 0.94888237"	" 2.154628573"	" 0.96531432"	" 0.196812222"	" 1.04920156"	" 1.17300011"	" 0.148490445"	" 0.30612455"	"-0.161398110"	"-0.77386856"	"-1.271284510"	"-0.605219224"	"-0.64749030"	"-2.466899115"	"-0.74566954"	"-0.44845132"	"-0.76823234"	" 0.054673256"	" 1.01234418"	" 1.743684398"	" 1.260389939"	" 0.99061671"	" 0.68232858"	" 0.21407281"	" 1.27649024"	" 1.20983714"	" 1.51686550"	" 1.626861952"	" 1.204760711"	" 1.46417274"	" 1.35557050"	" 1.17644402"	" 1.22489601"	" 2.34865710"	" 2.60252352"	" 2.41002427"	" 2.109223506"	" 1.973765865"	" 3.122354382"	" 1.99549002"	" 2.114206150"
